Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Detailed Years of School Completed by People 25 Years and Over by Sex, Age Groups, Race and Hispanic Origin: 2014",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Detailed Years of School,ALL RACES,,MALES,,FEMALES,,25 TO 34  YEARS OLD,,35 TO 54  YEARS OLD,,55 YEARS OLD AND OVER,,WHITE,,NON-HISPANIC WHITE,,BLACK,,ASIAN,,"HISPANIC
(OF ANY RACE)",,
"1st-4th grade, GED",72,-,47,0.1,25,-,11,-,42,0.1,20,-, 51 ,-, 40 ,-, 8 ,-, 10 ,0.1, 13 ,-,
"5th-6th grade, GED",71,-,33,-,37,-,6,-,23,-,42,0.1, 57 ,-, 33 ,-, 8 ,-, 3 ,-, 27 ,0.1,
"7th-8th grade, GED",325,0.2,175,0.2,150,0.1,71,0.2,70,0.1,183,0.2, 271 ,0.2, 229 ,0.2, 34 ,0.1, 2 ,-, 50 ,0.2,
"9th grade, GED",739,0.4,376,0.4,362,0.3,136,0.3,289,0.4,314,0.4, 638 ,0.4, 533 ,0.4, 56 ,0.2, 2 ,-, 116 ,0.4,
"10th grade, GED","1,561",0.8,802,0.8,758,0.7,329,0.8,615,0.7,617,0.7," 1,282 ",0.8," 1,126 ",0.8, 199 ,0.8, 21 ,0.2, 183 ,0.6,
"11th grade, GED","2,274",1.1,"1,317",1.3,956,0.9,526,1.2,"1,019",1.2,729,0.9," 1,766 ",1.1," 1,488 ",1.1, 340 ,1.4, 22 ,0.2, 317 ,1.1,
"12th grade, GED","1,338",0.6,747,0.7,592,0.5,373,0.9,511,0.6,455,0.5," 1,030 ",0.6, 786 ,0.6, 211 ,0.9, 47 ,0.4, 267 ,0.9,
,,,,,,,,,,,,,,,,,,,,,,,
High school diploma,"55,845",26.7,"27,220",27.1,"28,625",26.3,"9,586",22.6,"20,665",25.0,"25,595",30.4," 44,641 ",26.7," 37,424 ",26.7," 7,460 ",30.0," 2,313 ",19.6," 7,980 ",26.7,
,,,,,,,,,,,,,,,,,,,,,,,
"College, no degree",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year college, no degree","5,503",2.6,"2,477",2.5,"3,026",2.8,"1,108",2.6,"2,149",2.6,"2,246",2.7," 4,466 ",2.7," 3,925 ",2.8, 716 ,2.9, 125 ,1.1, 624 ,2.1,
"One year of college, no degree","11,315",5.4,"5,160",5.1,"6,154",5.7,"2,392",5.6,"4,298",5.2,"4,624",5.5," 9,075 ",5.4," 7,960 ",5.7," 1,624 ",6.5, 275 ,2.3," 1,269 ",4.2,
"Two years of college, no degree","13,029",6.2,"6,307",6.3,"6,723",6.2,"2,825",6.7,"4,964",6.0,"5,240",6.2," 10,269 ",6.2," 8,857 ",6.3," 1,899 ",7.6, 493 ,4.2," 1,591 ",5.3,
"Three years of college, no degree","3,591",1.7,"1,685",1.7,"1,906",1.8,"1,050",2.5,"1,330",1.6,"1,211",1.4," 2,792 ",1.7," 2,417 ",1.7, 514 ,2.1, 193 ,1.6, 438 ,1.5,
"Four or more years of college, no degree","1,481",0.7,829,0.8,652,0.6,409,1.0,568,0.7,504,0.6," 1,152 ",0.7, 966 ,0.7, 184 ,0.7, 67 ,0.6, 217 ,0.7,
,,,,,,,,,,,,,,,,,,,,,,,
"Associate's degree, vocational",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year college, vocational/associates",587,0.3,244,0.2,343,0.3,116,0.3,220,0.3,251,0.3, 476 ,0.3, 431 ,0.3, 73 ,0.3, 21 ,0.2, 57 ,0.2,
"One year of college, vocational/associates","1,231",0.6,547,0.5,685,0.6,304,0.7,533,0.6,394,0.5," 1,039 ",0.6, 904 ,0.6, 143 ,0.6, 25 ,0.2, 148 ,0.5,
"Two years of college, vocational/associates","5,575",2.7,"2,598",2.6,"2,977",2.7,"1,060",2.5,"2,476",3.0,"2,039",2.4," 4,546 ",2.7," 4,060 ",2.9, 733 ,3.0, 174 ,1.5, 556 ,1.9,
"Three years of college, vocational/associates",813,0.4,320,0.3,493,0.5,154,0.4,366,0.4,293,0.4, 662 ,0.4, 592 ,0.4, 98 ,0.4, 35 ,0.3, 93 ,0.3,
"Four or more years of college, vocational/associates",926,0.4,480,0.5,445,0.4,231,0.5,405,0.5,289,0.3, 807 ,0.5, 701 ,0.5, 63 ,0.3, 19 ,0.2, 112 ,0.4,
,,,,,,,,,,,,,,,,,,,,,,,
"Associate's degree, academic",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year college, academic/associates",216,0.1,108,0.1,108,0.1,34,0.1,105,0.1,76,0.1, 177 ,0.1, 142 ,0.1, 23 ,0.1, 12 ,0.1, 42 ,0.1,
"One year of college, academic/associates",676,0.3,262,0.3,414,0.4,134,0.3,330,0.4,212,0.3, 530 ,0.3, 432 ,0.3, 85 ,0.3, 39 ,0.3, 101 ,0.3,
"Two years of college, academic/associates","7,779",3.7,"3,207",3.2,"4,572",4.2,"1,613",3.8,"3,357",4.1,"2,809",3.3," 6,255 ",3.8," 5,522 ",3.9, 965 ,3.9, 339 ,2.9, 820 ,2.7,
"Three years of college, academic/associates","1,550",0.7,617,0.6,933,0.9,396,0.9,664,0.8,490,0.6," 1,210 ",0.7," 1,070 ",0.8, 191 ,0.8, 82 ,0.7, 172 ,0.6,
"Four or more years of college, academic/associates","1,437",0.7,590,0.6,847,0.8,351,0.8,705,0.9,381,0.5," 1,125 ",0.7, 970 ,0.7, 179 ,0.7, 71 ,0.6, 175 ,0.6,
,,,,,,,,,,,,,,,,,,,,,,,
Bachelors degree only,"31,123",14.9,"15,216",15.1,"15,907",14.6,"8,013",18.9,"13,605",16.5,"9,505",11.3," 25,051 ",15.0," 22,919 ",16.4," 2,558 ",10.3," 2,865 ",24.3," 2,408 ",8.1,
,,,,,,,,,,,,,,,,,,,,,,,
"Graduate school, no master's degree",,,,,,,,,,,,,,,,,,,,,,,
"Less than 1 year of graduate school, no master's degree","3,202",1.5,"1,378",1.4,"1,824",1.7,762,1.8,"1,395",1.7,"1,045",1.2," 2,558 ",1.5," 2,349 ",1.7, 317 ,1.3, 259 ,2.2, 245 ,0.8,
"One or more years of graduate school, no master's degree","7,931",3.8,"3,506",3.5,"4,426",4.1,"1,781",4.2,"2,884",3.5,"3,266",3.9," 6,414 ",3.8," 5,971 ",4.3, 766 ,3.1, 563 ,4.8, 509 ,1.7,
,,,,,,,,,,,,,,,,,,,,,,,
Master's degree programs,,,,,,,,,,,,,,,,,,,,,,,
Master's degree 1 year program,"1,360",0.7,609,0.6,751,0.7,327,0.8,440,0.5,593,0.7," 1,203 ",0.7," 1,148 ",0.8, 65 ,0.3, 78 ,0.7, 60 ,0.2,
Master's degree 2 years program,"11,443",5.5,"4,936",4.9,"6,507",6.0,"2,228",5.3,"4,992",6.0,"4,223",5.0," 9,076 ",5.4," 8,465 ",6.0," 1,014 ",4.1," 1,171 ",9.9, 684 ,2.3,
Master's degree 3 or more years program,"4,969",2.4,"2,301",2.3,"2,668",2.5,843,2.0,"2,017",2.4,"2,109",2.5," 4,038 ",2.4," 3,771 ",2.7, 427 ,1.7, 450 ,3.8, 294 ,1.0,
,,,,,,,,,,,,,,,,,,,,,,,
Professional degree,"3,148",1.5,"1,821",1.8,"1,327",1.2,535,1.3,"1,268",1.5,"1,345",1.6," 2,601 ",1.6," 2,471 ",1.8, 179 ,0.7, 312 ,2.6, 141 ,0.5,
Doctorate degree,"3,703",1.8,"2,329",2.3,"1,374",1.3,508,1.2,"1,456",1.8,"1,739",2.1," 2,970 ",1.8," 2,785 ",2.0, 206 ,0.8, 478 ,4.1, 193 ,0.7,
,,,,,,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,,,,,,
/1  Excluding members of the Armed Forces living in barracks.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2014 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,,,,,,
