Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Detailed Years of School Completed by People 25 Years and Over by Sex, Age Groups, Race and Hispanic Origin: 2010",,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,
Detailed Years of School,ALL RACES,,MALES,,FEMALES,,25 TO 34  YEARS OLD,,35 TO 54  YEARS OLD,,55 YEARS OLD AND OVER,,WHITE,,NON-HISPANIC WHITE,,BLACK,,ASIAN,,"HISPANIC
(OF ANY RACE)",
"One or more years of graduate school, no master's degree","5,731",2.9,"2,449",2.5,"3,281",3.2,"1,323",3.2,"2,288",2.7,"2,120",2.9,"4,881",3.0,"4,593",3.3,429,1.9,307,3.2,318,1.2
,,,,,,,,,,,,,,,,,,,,,,
Master's degree programs,,,,,,,,,,,,,,,,,,,,,,
Master's degree 1 year program,"1,146",0.6,548,0.6,598,0.6,192,0.5,377,0.4,577,0.8,965,0.6,929,0.7,97,0.4,73,0.8,42,0.2
Master's degree 2 years program,"9,851",4.9,"4,347",4.5,"5,503",5.3,"1,971",4.8,"4,427",5.2,"3,453",4.7,"8,028",4.9,"7,617",5.5,790,3.4,885,9.4,445,1.7
Master's degree 3 or more years program,"4,206",2.1,"1,963",2.0,"2,243",2.2,610,1.5,"1,819",2.1,"1,777",2.4,"3,535",2.2,"3,300",2.4,312,1.4,320,3.4,246,0.9
,,,,,,,,,,,,,,,,,,,,,,
Professional degree,"3,074",1.5,"1,861",1.9,"1,213",1.2,494,1.2,"1,295",1.5,"1,286",1.7,"2,572",1.6,"2,444",1.8,176,0.8,284,3.0,134,0.5
Doctorate degree,"2,779",1.4,"1,763",1.8,"1,015",1.0,373,0.9,"1,237",1.5,"1,169",1.6,"2,285",1.4,"2,141",1.6,123,0.5,334,3.5,146,0.6
,,,,,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,,,,,
/1  Excluding members of the Armed Forces living in barracks.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2010 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,,,,,
Internet Release date:  xxx 200X,,,,,,,,,,,,,,,,,,,,,,
